t_idx,yaw,orientation,wind_dir,time
0,0,0.0,225.0,225.0,0.0
1,1,0.0,225.0,225.0,0.0
2,2,0.0,225.0,225.0,0.0
3,3,0.0,225.0,225.0,0.0
4,4,0.0,225.0,225.0,0.0
5,5,0.0,225.0,225.0,0.0
6,6,0.0,225.0,225.0,0.0
7,7,0.0,225.0,225.0,0.0
8,8,0.0,225.0,225.0,0.0
9,0,0.0,225.0,225.0,4.0
10,1,0.0,225.0,225.0,4.0
11,2,0.0,225.0,225.0,4.0
12,3,0.0,225.0,225.0,4.0
13,4,0.0,225.0,225.0,4.0
14,5,0.0,225.0,225.0,4.0
15,6,0.0,225.0,225.0,4.0
16,7,0.0,225.0,225.0,4.0
17,8,0.0,225.0,225.0,4.0
18,0,0.0,225.0,225.0,8.0
19,1,0.0,225.0,225.0,8.0
20,2,0.0,225.0,225.0,8.0
21,3,0.0,225.0,225.0,8.0
22,4,0.0,225.0,225.0,8.0
23,5,0.0,225.0,225.0,8.0
24,6,0.0,225.0,225.0,8.0
25,7,0.0,225.0,225.0,8.0
26,8,0.0,225.0,225.0,8.0
27,0,0.0,225.0,225.0,12.0
28,1,0.0,225.0,225.0,12.0
29,2,0.0,225.0,225.0,12.0
30,3,0.0,225.0,225.0,12.0
31,4,0.0,225.0,225.0,12.0
32,5,0.0,225.0,225.0,12.0
33,6,0.0,225.0,225.0,12.0
34,7,0.0,225.0,225.0,12.0
35,8,0.0,225.0,225.0,12.0
36,0,0.0,225.0,225.0,16.0
37,1,0.0,225.0,225.0,16.0
38,2,0.0,225.0,225.0,16.0
39,3,0.0,225.0,225.0,16.0
40,4,0.0,225.0,225.0,16.0
41,5,0.0,225.0,225.0,16.0
42,6,0.0,225.0,225.0,16.0
43,7,0.0,225.0,225.0,16.0
44,8,0.0,225.0,225.0,16.0
45,0,0.0,225.0,225.0,20.0
46,1,0.0,225.0,225.0,20.0
47,2,0.0,225.0,225.0,20.0
48,3,0.0,225.0,225.0,20.0
49,4,0.0,225.0,225.0,20.0
50,5,0.0,225.0,225.0,20.0
51,6,0.0,225.0,225.0,20.0
52,7,0.0,225.0,225.0,20.0
53,8,0.0,225.0,225.0,20.0
54,0,0.0,225.0,225.0,24.0
55,1,0.0,225.0,225.0,24.0
56,2,0.0,225.0,225.0,24.0
57,3,0.0,225.0,225.0,24.0
58,4,0.0,225.0,225.0,24.0
59,5,0.0,225.0,225.0,24.0
60,6,0.0,225.0,225.0,24.0
61,7,0.0,225.0,225.0,24.0
62,8,0.0,225.0,225.0,24.0
63,0,0.0,225.0,225.0,28.0
64,1,0.0,225.0,225.0,28.0
65,2,0.0,225.0,225.0,28.0
66,3,0.0,225.0,225.0,28.0
67,4,0.0,225.0,225.0,28.0
68,5,0.0,225.0,225.0,28.0
69,6,0.0,225.0,225.0,28.0
70,7,0.0,225.0,225.0,28.0
71,8,0.0,225.0,225.0,28.0
72,0,0.0,225.0,225.0,32.0
73,1,0.0,225.0,225.0,32.0
74,2,0.0,225.0,225.0,32.0
75,3,0.0,225.0,225.0,32.0
76,4,0.0,225.0,225.0,32.0
77,5,0.0,225.0,225.0,32.0
78,6,0.0,225.0,225.0,32.0
79,7,0.0,225.0,225.0,32.0
80,8,0.0,225.0,225.0,32.0
81,0,0.0,225.0,225.0,36.0
82,1,0.0,225.0,225.0,36.0
83,2,0.0,225.0,225.0,36.0
84,3,0.0,225.0,225.0,36.0
85,4,0.0,225.0,225.0,36.0
86,5,0.0,225.0,225.0,36.0
87,6,0.0,225.0,225.0,36.0
88,7,0.0,225.0,225.0,36.0
89,8,0.0,225.0,225.0,36.0
90,0,0.0,225.0,225.0,40.0
91,1,0.0,225.0,225.0,40.0
92,2,0.0,225.0,225.0,40.0
93,3,0.0,225.0,225.0,40.0
94,4,0.0,225.0,225.0,40.0
95,5,0.0,225.0,225.0,40.0
96,6,0.0,225.0,225.0,40.0
97,7,0.0,225.0,225.0,40.0
98,8,0.0,225.0,225.0,40.0
99,0,0.0,225.0,225.0,44.0
100,1,0.0,225.0,225.0,44.0
101,2,0.0,225.0,225.0,44.0
102,3,0.0,225.0,225.0,44.0
103,4,0.0,225.0,225.0,44.0
104,5,0.0,225.0,225.0,44.0
105,6,0.0,225.0,225.0,44.0
106,7,0.0,225.0,225.0,44.0
107,8,0.0,225.0,225.0,44.0
108,0,0.0,225.0,225.0,48.0
109,1,0.0,225.0,225.0,48.0
110,2,0.0,225.0,225.0,48.0
111,3,0.0,225.0,225.0,48.0
112,4,0.0,225.0,225.0,48.0
113,5,0.0,225.0,225.0,48.0
114,6,0.0,225.0,225.0,48.0
115,7,0.0,225.0,225.0,48.0
116,8,0.0,225.0,225.0,48.0
117,0,0.0,225.0,225.0,52.0
118,1,0.0,225.0,225.0,52.0
119,2,0.0,225.0,225.0,52.0
120,3,0.0,225.0,225.0,52.0
121,4,0.0,225.0,225.0,52.0
122,5,0.0,225.0,225.0,52.0
123,6,0.0,225.0,225.0,52.0
124,7,0.0,225.0,225.0,52.0
125,8,0.0,225.0,225.0,52.0
126,0,0.0,225.0,225.0,56.0
127,1,0.0,225.0,225.0,56.0
128,2,0.0,225.0,225.0,56.0
129,3,0.0,225.0,225.0,56.0
130,4,0.0,225.0,225.0,56.0
131,5,0.0,225.0,225.0,56.0
132,6,0.0,225.0,225.0,56.0
133,7,0.0,225.0,225.0,56.0
134,8,0.0,225.0,225.0,56.0
135,0,0.0,225.0,225.0,60.0
136,1,0.0,225.0,225.0,60.0
137,2,0.0,225.0,225.0,60.0
138,3,0.0,225.0,225.0,60.0
139,4,0.0,225.0,225.0,60.0
140,5,0.0,225.0,225.0,60.0
141,6,0.0,225.0,225.0,60.0
142,7,0.0,225.0,225.0,60.0
143,8,0.0,225.0,225.0,60.0
144,0,0.0,225.0,225.0,64.0
145,1,0.0,225.0,225.0,64.0
146,2,0.0,225.0,225.0,64.0
147,3,0.0,225.0,225.0,64.0
148,4,0.0,225.0,225.0,64.0
149,5,0.0,225.0,225.0,64.0
150,6,0.0,225.0,225.0,64.0
151,7,0.0,225.0,225.0,64.0
152,8,0.0,225.0,225.0,64.0
153,0,0.0,225.0,225.0,68.0
154,1,0.0,225.0,225.0,68.0
155,2,0.0,225.0,225.0,68.0
156,3,0.0,225.0,225.0,68.0
157,4,0.0,225.0,225.0,68.0
158,5,0.0,225.0,225.0,68.0
159,6,0.0,225.0,225.0,68.0
160,7,0.0,225.0,225.0,68.0
161,8,0.0,225.0,225.0,68.0
162,0,0.0,225.0,225.0,72.0
163,1,0.0,225.0,225.0,72.0
164,2,0.0,225.0,225.0,72.0
165,3,0.0,225.0,225.0,72.0
166,4,0.0,225.0,225.0,72.0
167,5,0.0,225.0,225.0,72.0
168,6,0.0,225.0,225.0,72.0
