Column1;t_idx;u_abs_eff_FLORIS;Ct_FLORIS;AI_FLORIS;TI_FLORIS;Power_FLORIS;power_OFF;time
0;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;0
1;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;0
2;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;0
3;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;0
4;4;5,7346E+15;9,019E+15;3,43396E+16;1,01877E+16;1,63073E+16;1,49526E+16;0
5;5;5,73542E+15;9,01879E+15;3,43379E+16;1,01893E+16;1,63142E+16;1,49595E+16;0
6;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;0
7;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+15;1,49605E+16;0
8;8;6,11461E+14;8,93854E+15;3,371E+16;1,05503E+16;1,98201E+16;1,83491E+16;0
9;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;40
10;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;40
11;2;7,96193E+15;8,73457E+15;3,22136E+15;6,00017E+15;4,38402E+15;4,09117E+16;40
12;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;40
13;4;5,7346E+15;9,019E+15;3,43396E+16;1,01877E+16;1,63073E+16;1,49526E+16;40
14;5;5,73542E+15;9,01879E+15;3,43379E+16;1,01893E+16;1,63142E+16;1,49595E+16;40
15;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;40
16;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+15;1,49605E+16;40
17;8;6,11438E+15;8,93856E+15;3,37101E+15;1,05503E+16;1,98175E+16;1,83469E+16;40
18;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;80
19;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;80
20;2;7,96193E+15;8,73457E+15;3,22136E+15;6,00017E+15;4,38402E+15;4,09117E+16;80
21;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;80
22;4;5,7346E+14;9,019E+15;3,43396E+15;1,01877E+15;1,63073E+16;1,49526E+15;80
23;5;5,73542E+15;9,01879E+15;3,43379E+16;1,01893E+16;1,63142E+16;1,49595E+16;80
24;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;80
25;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+15;1,49605E+16;80
26;8;6,11461E+14;8,93854E+15;3,371E+16;1,05503E+16;1,98201E+16;1,83491E+16;80
27;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;120
28;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;120
29;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;120
30;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;120
31;4;5,7346E+14;9,019E+15;3,43396E+15;1,01877E+15;1,63073E+16;1,49526E+15;120
32;5;5,73542E+16;9,01879E+13;3,43379E+15;1,01893E+16;1,63142E+16;1,49595E+16;120
33;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;120
34;7;5,73554E+15;9,01876E+15;3,43376E+16;1,019E+16;1,63152E+15;1,49605E+16;120
35;8;6,10883E+15;8,93912E+14;3,37144E+16;1,05503E+16;1,97561E+15;1,82943E+16;120
36;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;160
37;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;160
38;2;7,96193E+15;8,73457E+15;3,22136E+15;6,03536E+16;4,38402E+15;4,09117E+16;160
39;3;7,96193E+15;8,73457E+15;3,22136E+15;6,03471E+15;4,38402E+15;4,09117E+16;160
40;4;5,7346E+15;9,019E+15;3,43396E+15;1,01877E+16;1,63073E+16;1,49526E+16;160
41;5;5,73542E+16;9,01879E+13;3,43379E+15;1,01893E+16;1,63142E+16;1,49595E+16;160
42;6;7,96193E+15;8,73457E+15;3,22136E+15;6,03561E+15;4,38402E+15;4,09117E+16;160
43;7;5,73525E+15;9,01884E+15;3,43382E+16;1,019E+16;1,63128E+16;1,4958E+16;160
44;8;6,10883E+15;8,93912E+14;3,37144E+16;1,05503E+16;1,97561E+15;1,82943E+16;160
45;0;7,96193E+15;8,73457E+15;3,22136E+15;6,03105E+15;4,38402E+15;4,09117E+16;200
46;1;7,96193E+15;8,73457E+15;3,22136E+15;6,03437E+14;4,38402E+15;4,09117E+16;200
